,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
356,Bagnols-sur-Cèze,44.1599,4.6178,57.99,88,3.44,90,FR,1619741620
357,Gondang,-7.0109,111.3189,76.6,87,3.98,74,ID,1619741621
358,Trairi,-3.2778,-39.2689,76.53,86,6.02,100,BR,1619741345
359,Richards Bay,-28.783,32.0377,71.83,81,11.68,89,ZA,1619741621
360,Airai,-8.9266,125.4092,67.91,72,2.86,60,TL,1619741621
361,Río Gallegos,-51.6226,-69.2181,44.6,81,5.75,75,AR,1619741622
362,Shizunai-furukawachō,42.3339,142.3669,41.92,92,14.61,100,JP,1619741622
363,Shingū,33.7333,135.9833,60.8,77,5.75,0,JP,1619741623
364,Rundu,-17.9333,19.7667,64.74,59,1.41,12,NA,1619741623
365,Segovia,41.1667,-4.0,46.99,82,5.64,97,ES,1619741624
366,Berlevåg,70.8578,29.0864,29.28,81,28.95,100,NO,1619741624
367,Malakal,9.5334,31.6605,77.61,69,3.6,100,SS,1619741625
368,Senai,1.5937,103.6482,77.0,94,2.95,20,MY,1619741625
369,Kieta,-6.2167,155.6333,85.05,65,3.44,20,PG,1619741625
370,Bridgewater,44.3835,-64.5155,51.8,62,11.5,100,CA,1619741626
371,Bayan,46.0833,127.4,52.27,52,3.47,99,CN,1619741626
372,Wattegama,6.7989,81.4808,74.35,91,1.74,90,LK,1619741627
373,Lethbridge,49.7,-112.8186,68.0,34,18.41,75,CA,1619741627
374,Upington,-28.4478,21.2561,55.4,58,8.05,0,ZA,1619741628
375,Hay River,60.8156,-115.7999,42.8,33,12.66,75,CA,1619741628
376,Pinhão,-25.6956,-51.6597,50.61,69,4.43,0,BR,1619741629
377,Zagyvaszántó,47.777,19.6709,57.0,87,4.61,0,HU,1619741629
378,Qala,40.4418,50.1681,55.4,82,4.61,0,AZ,1619741630
379,High Prairie,55.4334,-116.4858,62.6,51,5.75,99,CA,1619741630
380,Nanchang,28.6833,115.8833,69.01,69,11.54,0,CN,1619741631
381,Butte,39.6499,-121.5677,89.6,18,8.05,1,US,1619741631
382,Nantucket,41.2835,-70.0995,50.0,93,10.36,90,US,1619741350
383,Shimoda,34.6667,138.95,68.0,63,13.8,20,JP,1619741632
384,Pombas,17.1503,-25.0201,71.6,73,19.57,40,CV,1619741632
385,Mirandola,44.8868,11.0662,57.99,80,1.99,76,IT,1619741632
386,Ribeira Grande,38.5167,-28.7,57.88,65,11.01,86,PT,1619741633
387,Kazanskoye,55.6448,69.235,39.74,70,8.14,2,RU,1619741633
388,Sioux Lookout,50.1001,-91.917,39.2,65,13.8,75,CA,1619741634
389,Antalaha,-14.9003,50.2788,74.57,86,7.11,9,MG,1619741634
390,Nome,64.5011,-165.4064,28.99,69,18.41,40,US,1619741634
391,Isla Mujeres,21.2311,-86.731,84.0,69,9.22,75,MX,1619741635
392,Umluj,25.0213,37.2685,84.45,42,11.18,37,SA,1619741635
393,Kimbe,-5.5502,150.1429,87.33,59,1.03,17,PG,1619741636
394,Trincomalee,8.5711,81.2335,79.61,82,5.03,66,LK,1619741636
395,Coahuayana Viejo,18.7333,-103.6833,80.6,57,11.5,90,MX,1619741637
396,Petites Anses,15.8501,-61.6442,77.0,83,5.75,75,GP,1619741637
397,Yangi Marg`ilon,40.4272,71.7189,68.0,72,2.62,0,UZ,1619741638
398,Marabba,12.35,32.1833,86.65,45,7.63,100,SD,1619741638
399,Novobiryusinskiy,56.9578,97.7076,36.43,93,8.28,100,RU,1619741638
400,Ukholovo,53.7929,40.4892,45.0,40,9.22,87,RU,1619741639
401,Meulaboh,4.1363,96.1285,77.0,85,3.91,84,ID,1619741639
402,Brae,60.3964,-1.353,37.4,87,10.36,79,GB,1619741640
403,Iracoubo,5.4802,-53.2011,76.01,90,8.86,100,GF,1619741640
404,Cururupu,-1.8283,-44.8683,74.64,90,2.28,100,BR,1619741641
405,Cairns,-16.9167,145.7667,81.0,73,10.36,7,AU,1619741641
406,Zelenoborskiy,66.845,32.3622,28.0,100,12.73,100,RU,1619741642
407,Bārdoli,21.1167,73.1167,84.72,56,3.11,92,IN,1619741642
408,Panabá,21.2833,-88.2667,87.28,39,16.17,2,MX,1619741643
409,Berdigestyakh,62.0989,126.6992,32.9,84,4.61,88,RU,1619741643
410,Karatau,43.1667,70.4667,66.09,30,4.07,6,KZ,1619741643
411,Burns Lake,54.2331,-125.7533,57.2,54,8.05,95,CA,1619741644
412,Adra,36.7496,-3.0206,61.0,72,6.91,0,ES,1619741644
413,Santa Maria,-29.6842,-53.8069,59.0,82,2.3,0,BR,1619741645
414,Taicheng,38.731,113.228,45.18,49,2.42,90,CN,1619741645
415,Gualeguay,-33.1416,-59.3097,58.12,74,5.79,0,AR,1619741646
416,Atar,20.5169,-13.0499,80.85,35,6.31,100,MR,1619741646
417,Wewak,-3.5534,143.6268,84.18,70,1.01,76,PG,1619741646
418,Willowmore,-33.2926,23.4895,51.37,76,4.68,100,ZA,1619741647
419,Ternate,0.8,127.4,82.63,72,2.62,100,ID,1619741647
420,Ugoofaaru,5.6667,73.0,82.81,73,4.97,73,MV,1619741648
421,Beira,-19.8436,34.8389,75.2,88,5.66,0,MZ,1619741648
422,San Vicente,-26.6167,-54.1333,54.46,55,3.04,0,AR,1619741648
423,Kattivākkam,13.2167,80.3167,84.99,83,2.3,20,IN,1619741649
424,Lompoc,34.6391,-120.4579,66.99,77,16.11,7,US,1619741649
425,Berbera,10.4396,45.0143,85.05,62,4.36,99,SO,1619741649
426,Kilinochchi,9.3961,80.3982,77.32,91,5.66,23,LK,1619741650
427,Mae Sot,16.7167,98.5667,75.2,100,1.81,75,TH,1619741650
428,Buala,-8.145,159.5921,82.63,74,5.37,98,SB,1619741650
429,Rochegda,62.8,43.25,31.59,81,4.63,100,RU,1619741651
430,Sosnovoborsk,56.1325,93.3589,39.2,81,4.47,0,RU,1619741651
431,Pacific Grove,36.6177,-121.9166,60.8,63,11.5,40,US,1619741652
432,Kundiawa,-6.0167,144.9667,72.46,70,3.51,84,PG,1619741652
433,Ugljevik,44.6636,19.0203,57.0,82,1.14,0,BA,1619741652
434,Bosobolo,4.1833,19.9,71.44,91,0.2,99,CD,1619741653
435,Along,28.1667,94.7667,70.09,54,1.81,39,IN,1619741653
436,Rāver,21.25,76.0333,84.06,30,4.59,28,IN,1619741402
437,Santa Fe,-31.6333,-60.7,64.99,65,1.99,0,AR,1619741356
438,San Jose,37.3394,-121.895,75.99,46,13.8,75,US,1619741492
439,Horta,38.5333,-28.6333,56.93,65,9.57,86,PT,1619741654
440,Capitão Poço,-1.7464,-47.0594,73.35,97,3.96,95,BR,1619741655
441,Giyani,-23.3025,30.7187,66.09,57,2.95,0,ZA,1619741655
442,Thinadhoo,0.5333,72.9333,83.41,71,6.08,60,MV,1619741655
443,Mishkino,55.3389,63.9175,39.33,77,10.36,9,RU,1619741656
444,Aktau,43.65,51.2,53.6,54,8.95,0,KZ,1619741656
445,Fare,-16.7,-151.0167,81.54,73,6.33,63,PF,1619741657
446,Labuhan,-6.8844,112.2051,78.69,83,6.51,46,ID,1619741657
447,Sirte,31.2089,16.5887,82.8,26,10.85,78,LY,1619741658
448,Nanhai,30.1282,111.7784,73.99,64,6.93,6,CN,1619741658
449,Sergach,55.5308,45.4661,36.73,78,6.26,65,RU,1619741658
450,Blairmore,49.6,-114.4353,68.0,39,14.97,99,CA,1619741659
451,Beloha,-25.1667,45.05,72.19,67,6.24,0,MG,1619741659
452,Khorramshahr,30.4397,48.1664,77.0,41,4.61,0,IR,1619741659
453,Dalby,-27.1833,151.2667,71.01,59,5.01,88,AU,1619741660
454,Los Andes,-32.8337,-70.5983,66.0,77,5.75,3,CL,1619741661
455,Luwuk,-0.9516,122.7875,82.49,70,2.42,87,ID,1619741661
456,Barrhead,55.7992,-4.3929,41.0,70,8.05,75,GB,1619741661
457,Bud,39.447,-86.1758,57.99,80,9.69,72,US,1619741662
458,Bhuj,23.2667,69.6667,76.1,85,4.12,0,IN,1619741662
459,Presidente Olegário,-18.4178,-46.4181,68.0,45,2.48,100,BR,1619741662
460,Belaya Gora,68.5333,146.4167,29.62,89,2.86,92,RU,1619741663
461,Gulbarga,17.3333,76.8333,84.74,36,6.55,39,IN,1619741663
462,Puerto Escondido,15.85,-97.0667,84.2,65,3.44,75,MX,1619741664
463,Neringa,55.3719,21.0647,48.2,93,8.95,75,LT,1619741664
464,Maoming,21.65,110.9,74.66,76,0.94,99,CN,1619741664
465,Pierre,44.3683,-100.351,75.0,28,6.91,1,US,1619741665
466,Masuguru,-11.3667,38.4167,70.41,98,1.39,68,TZ,1619741665
467,Inuvik,68.3499,-133.7218,41.0,41,5.75,72,CA,1619741666
468,Prokuplje,43.2342,21.5881,50.0,87,3.44,0,RS,1619741666
469,Storforshei,66.4043,14.5233,34.0,87,3.0,99,NO,1619741666
470,Itoman,26.1247,127.6694,69.8,73,4.61,20,JP,1619741667
471,Umm Hājar,13.2954,19.6966,83.91,8,10.92,54,TD,1619741413
472,Del Rio,29.3627,-100.8968,78.8,44,11.5,1,US,1619741668
473,Qrendi,35.8347,14.4583,63.0,100,4.61,0,MT,1619741668
474,Vohibinany,-17.35,49.0333,70.72,98,2.24,99,MG,1619741668
475,Litovko,49.2361,135.1742,45.12,63,11.65,36,RU,1619741669
476,Avera,33.194,-82.5271,77.0,61,7.83,94,US,1619741669
477,Bosaso,11.2842,49.1816,85.15,68,1.66,74,SO,1619741494
478,Saint-Gabriel,46.3001,-73.3824,62.6,31,12.66,100,CA,1619741670
479,Kutum,14.2,24.6667,74.48,15,4.09,33,SD,1619741671
480,Xingcheng,40.6167,120.7167,52.21,31,3.27,33,CN,1619741672
481,Kainantu,-6.2887,145.8655,66.6,78,0.98,64,PG,1619741672
482,Yuli,9.6989,10.2744,85.17,56,9.33,48,NG,1619741672
483,Kloulklubed,7.0419,134.2556,80.6,89,4.61,75,PW,1619741673
484,Seymchan,62.8833,152.4333,32.81,92,1.25,100,RU,1619741673
485,Matamoros,25.5333,-103.25,84.2,14,4.61,1,MX,1619741673
486,Kikwit,-5.041,18.8162,71.19,97,0.65,100,CD,1619741674
487,Coquimbo,-29.9533,-71.3436,55.4,88,6.91,0,CL,1619741596
488,Santoña,43.4439,-3.4576,53.01,87,2.3,90,ES,1619741674
489,Jesi,43.5288,13.2402,60.01,82,2.3,40,IT,1619741675
490,Raudeberg,61.9875,5.1352,39.99,77,17.2,8,NO,1619741675
491,Balsas,-7.5325,-46.0356,75.9,78,2.91,79,BR,1619741676
492,Phalaborwa,-23.943,31.1411,66.2,77,3.44,0,ZA,1619741676
493,Elizabeth City,36.2946,-76.2511,81.0,53,10.36,1,US,1619741478
494,Padang,-0.9492,100.3543,76.53,89,2.95,100,ID,1619741676
495,Kemijärvi,66.7131,27.4306,28.94,94,8.19,100,FI,1619741677
496,Mago,53.2514,140.1822,36.63,63,5.68,100,RU,1619741677
497,Sørland,67.667,12.6934,37.99,67,23.53,100,NO,1619741678
498,Beisfjord,68.3751,17.5988,32.0,86,10.36,90,NO,1619741678
499,Simao,22.7886,100.9748,64.8,88,1.61,100,CN,1619741679
500,Constitución,-35.3333,-72.4167,55.15,88,1.74,78,CL,1619741679
501,Hambantota,6.1241,81.1185,78.85,84,7.96,98,LK,1619741679
502,Caranavi,-15.8167,-67.55,60.1,84,1.34,90,BO,1619741680
503,Giohar,2.7809,45.5005,77.85,81,3.8,94,SO,1619741680
504,Saint-Augustin,51.226,-58.6502,41.95,80,5.32,100,CA,1619741681
505,Saldanha,-33.0117,17.9442,55.4,71,10.36,0,ZA,1619741681
506,Mahibadhoo,3.7833,72.9667,83.07,71,5.5,10,MV,1619741681
507,Yakuplu,40.9889,28.6758,53.6,82,4.61,0,TR,1619741682
508,Iralaya,15.0,-83.2333,86.0,74,8.05,20,HN,1619741682
509,Byron Bay,-28.65,153.6167,64.4,94,9.22,90,AU,1619741682
510,Viedma,-40.8135,-62.9967,69.87,44,16.33,91,AR,1619741683
511,Singaraja,-8.112,115.0882,81.09,74,2.59,11,ID,1619741683
512,Mitú,1.1983,-70.1733,70.97,99,1.19,94,CO,1619741684
513,Vytegra,61.0064,36.4481,29.3,93,4.16,67,RU,1619741684
514,La Providencia,28.7167,-111.5833,93.99,30,7.0,1,MX,1619741472
515,Yenagoa,4.9247,6.2642,77.27,91,4.14,100,NG,1619741685
516,Camalú,30.85,-116.0667,71.53,52,9.22,0,MX,1619741685
517,Luanda,-8.8368,13.2343,75.2,94,2.3,40,AO,1619741472
518,Dzilam González,21.2833,-88.9333,90.46,35,11.36,20,MX,1619741686
519,Sitka,57.0531,-135.33,46.4,81,10.36,90,US,1619741686
520,Batagay-Alyta,67.8006,130.4114,23.29,77,2.64,78,RU,1619741535
521,Mizdah,31.4451,12.9801,78.51,28,8.03,1,LY,1619741687
522,Profítis Ilías,35.2056,25.0999,80.6,22,11.5,0,GR,1619741687
523,Poindimié,-20.9333,165.3333,75.09,64,14.61,99,NC,1619741688
524,Sligo,54.2697,-8.4694,37.0,62,3.0,94,IE,1619741540
525,Kualakapuas,-3.0091,114.3876,78.8,89,4.61,57,ID,1619741603
526,Batticaloa,7.7102,81.6924,81.32,73,1.21,90,LK,1619741688
527,Bo Phloi,14.3236,99.5161,82.0,86,1.61,100,TH,1619741689
528,Morehead,37.2711,-87.1764,66.0,96,5.99,91,US,1619741689
529,College,64.8569,-147.8028,50.0,50,3.44,75,US,1619741690
530,São João Batista,-27.2761,-48.8494,62.01,95,1.01,19,BR,1619741690
531,Dhārchula,29.85,80.5333,61.05,48,8.63,11,IN,1619741691
532,Narsaq,60.9167,-46.05,35.6,80,3.44,20,GL,1619741691
533,Corpus Christi,27.8006,-97.3964,82.99,83,9.22,40,US,1619741691
534,Invermere,50.5167,-116.0354,51.37,85,1.19,100,CA,1619741692
535,Olafsvik,64.8945,-23.7142,40.62,76,2.62,100,IS,1619741692
536,Itarantim,-15.6597,-40.0656,70.59,89,5.5,91,BR,1619741693
537,Lodja,-3.4833,23.4333,70.68,97,2.44,95,CD,1619741693
538,Camajuaní,22.4833,-79.75,82.4,47,14.97,40,CU,1619741693
539,Aljezur,37.3191,-8.8033,52.66,75,6.08,55,PT,1619741694
540,Ipaussu,-23.0553,-49.6284,62.17,69,13.02,6,BR,1619741694
541,Shebalino,51.2917,85.6772,52.52,95,1.68,100,RU,1619741694
542,Novy Urengoy,66.0833,76.6333,28.98,95,10.4,100,RU,1619741695
543,Abalak,58.1286,68.5944,37.71,80,8.12,10,RU,1619741530
544,Mandalgovi,45.7625,106.2708,33.98,62,18.61,21,MN,1619741695
545,San Francisco,37.7749,-122.4194,64.99,59,23.02,75,US,1619741645
546,Moscow,55.7522,37.6156,45.0,75,6.71,0,RU,1619741530
547,Port Shepstone,-30.7414,30.455,66.85,88,17.45,100,ZA,1619741696
548,Reinosa,42.9996,-4.138,51.8,87,2.3,90,ES,1619741697
549,Rehoboth,-23.3167,17.0833,59.29,56,3.51,2,NA,1619741697
550,Rome,43.2128,-75.4557,55.4,94,2.8,90,US,1619741419
551,Jacareacanga,-6.2222,-57.7528,72.77,97,1.48,30,BR,1619741698
